pestle;pestle_confidence;tanggal;unit;jenis_laporan;paragraf_raw
Economic;3;2019;Unknown;dokumen_kebijakan;arus distribusi pangan searah dari wilayah produsen ke konsumen.  Rantai distribusi yang panjang menyebabkan biaya perdagangan
Economic;2;2019;Unknown;dokumen_kebijakan;pasokan (supply). Variasi pasokan akan menyebabkan harga mudah 17 berfluktuasi antar waktu menurut pola panen komoditas karena pada
Economic;2;2019;Unknown;dokumen_kebijakan;a. Keterjangkauan Fisik 1. Mengembangkan sistem logistik pangan (peningkatan produksi, perbaikan sistem distribusi, dan peningkatan
Environmental;3;2019;Unknown;dokumen_kebijakan;kembang dan kesehatan melalui kecukupan air bersih dan kondisi sanitasi lingkungan dan higiene yang baik. Peranan faktor pendukung
Environmental;3;2019;Unknown;dokumen_kebijakan;air bersih, higiene dan sanitasi lingkungan), pola asuh yang buruk sebagai akibat rendahnya pendidikan dan pengetahuan, dan
Environmental;3;2025;BGN;lainnya;• Peningkatan peran masyarakat dalam pemenuhan air limbahkemasandan sisamakanan minum,serta penyediaan sanitasi aman
Legal;3;2024;BPOM;dokumen_kebijakan;tahap pencegahan melalui standardisasi, perizinan, sertifikasi, dan pembinaan
Legal;2;2023;BPOM;dokumen_kebijakan;sertifikasi Ahli Pembangun Integritas (API). Baik PAKSI dan API mengacu pa.da Standar Kompetensi Kerja Nasional Indonesia (SKKNI)
Legal;2;2023;BPOM;dokumen_kebijakan;7. Berlakunya Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintah Daerah, merupakan tantangan bagi BPOM untuk menyiapkan Norma, Standar, Pedoman dan
Political;3;2019;Unknown;dokumen_kebijakan;daerah untuk membangun koordinasi lintas sektor sehingga terjadi sinergi program dan kegiatan pembangunan ketahanan
Political;3;2025;BGN;lainnya;Nasional Lintas Sektor dan Organisasi. (5) Pelaksanaan manajemen risiko Program Makan Bergizi Gratis dikoordinasikan secara teknis dengan
Political;2;2023;BPOM;dokumen_kebijakan;Program Prioritas dan Kegiatan Strategis Unit Eselon I dan II untuk mencapai Efektivitas
Social;2;2023;BPOM;dokumen_kebijakan;BPOM Ajak Beauty Enthusiast Cerdaskan Masyarakat dan Gunakan Kosmetik Aman BPOM menyelenggarakan “Forum Peningkatan Literasi Kosmetik Aman” bagi para beauty
Social;2;2023;BPOM;dokumen_kebijakan;komunitas. Untuk meningkatkan literasi beauty enthusiast, pada kegiatan ini. Kepala BPOM
Social;2;2023;BPOM;dokumen_kebijakan;masyarakat yang bertempat tinggal di daerah dengan literasi digital rendah atau akses
Technological;3;2023;BPOM;dokumen_kebijakan;28 LAPORAN TAHUNAN | 2023 Kediri, 24 Penandatanganan Prasasti Laboratorium Forensik Digital
Technological;3;2021;BPOM;dokumen_kebijakan;ketidaktaatan tidak berulang. Tindak Lanjut terhadap rekomendasi atau saran disampaikan melalui aplikasi Sistem Informasi Monitoring secara Elektronik dan
Technological;3;2023;BPOM;dokumen_kebijakan;Makanan aman, bermanfaat/berkhasiat dan menggunakan aplikasi e-monev KIP bermutu sesuai ketentuan peraturan BPOM yaitu Sistem Monitoring dan
