term;score
pangan;0.02390805684250171
tahun;0.020681648182986175
pom;0.01691193996922089
bpom;0.01686244555252305
registrasi;0.01633053638912906
olah;0.016274807222159453
obat;0.01615617074482564
pangan olah;0.014833907672056687
informasi;0.014749646446612646
laku;0.013658352514975406
badan;0.013121109622592851
laksana;0.012651540303878502
registrasi pangan;0.012620413552167925
awas;0.012427211509606762
layan;0.012179935175307886
makan;0.012052888119694584
giat;0.011820249337429513
tingkat;0.011614905121930943
kerja;0.011568464284780205
publik;0.010766204398837397
2023;0.010442269068525006
dapat;0.01017291330527027
lapor;0.010070298729846251
badan pom;0.009755545614067695
obat makan;0.009290832205072293
cara;0.009001456236938788
usaha;0.00847511350027303
hasil;0.008323332302409633
direktorat;0.008225122040520538
baik;0.008123315443009657
eee;0.00806607359751313
besar;0.00803448027442239
gambar;0.00797628810530065
telah;0.007909668724721071
tahun 2023;0.007662523050722798
balai;0.00764098479196393
awas obat;0.007599138016302165
nilai;0.007562217714389513
dasar;0.007319275607621624
2021;0.007221745603369708
